word,count,freq
party,59,0.00010030277838696132
hole,104,0.00017680489749566063
ground,274,0.0004658129030174136
lived,80,0.00013600376730435432
nasty,53,9.010249583913474e-05
dirty,20,3.400094182608858e-05
wet,50,8.500235456522146e-05
filled,161,0.00027370758170001307
ends,34,5.780160110435059e-05
worms,4,6.800188365217717e-06
oozy,1,1.7000470913044292e-06
smell,52,8.840244874783032e-05
nor,301,0.0005117141744826331
dry,52,8.840244874783032e-05
bare,70,0.00011900329639131004
sandy,3,5.100141273913288e-06
nothing,350,0.0005950164819565502
sit,92,0.0001564043324000075
or,2180,0.0037061026590436553
eat,102,0.00017340480331305176
means,31,5.27014598304373e-05
comfort,48,8.16022603826126e-05
had,3868,0.006575782149165532
p,42,7.140197783478602e-05
erfectly,1,1.7000470913044292e-06
round,411,0.0006987193545261204
door,351,0.0005967165290478546
like,1347,0.0022899634319870662
porthole,1,1.7000470913044292e-06
painted,10,1.700047091304429e-05
green,319,0.0005423150221261129
shiny,2,3.4000941826088584e-06
yellow,71,0.00012070334348261448
brass,4,6.800188365217717e-06
knob,4,6.800188365217717e-06
exact,4,6.800188365217717e-06
middle,141,0.0002397066398739245
opened,118,0.00020060555677392264
tube,2,3.4000941826088584e-06
shaped,26,4.420122437391516e-05
hall,172,0.0002924080997043618
tunnel,95,0.00016150447367392076
very,847,0.0014399398863348515
comfortable,32,5.4401506921741735e-05
without,322,0.0005474151634000261
smoke,117,0.00019890550968261822
panelled,1,1.7000470913044292e-06
walls,206,0.0003502097008087124
floors,6,1.0200282547826575e-05
tiled,1,1.7000470913044292e-06
carpeted,2,3.4000941826088584e-06
pro,3,5.100141273913288e-06
vided,1,1.7000470913044292e-06
polished,16,2.7200753460870867e-05
chairs,17,2.8900800552175296e-05
lots,37,6.290174237826388e-05
pegs,3,5.100141273913288e-06
hats,4,6.800188365217717e-06
coats,7,1.1900329639131004e-05
fond,26,4.420122437391516e-05
visitors,4,6.800188365217717e-06
wound,76,0.0001292035789391366
going,506,0.0008602238282000411
fairly,16,2.7200753460870867e-05
but,5257,0.008937147558987384
quite,211,0.00035870993626523453
straight,109,0.00018530513295218277
into,1369,0.0023273644679957634
side,527,0.0008959248171174341
hill,272,0.00046241280883480473
all,3042,0.005171543251748074
many,995,0.001691546855847907
miles,130,0.00022100612186957578
called,262,0.0004454123379217604
little,745,0.0012665350830217998
doors,135,0.00022950635732609794
one,1362,0.0023154641383566323
then,1946,0.0033082916396784193
another,331,0.0005627155872217661
no,2187,0.0037180029886827864
upstairs,3,5.100141273913288e-06
bedrooms,3,5.100141273913288e-06
bathrooms,1,1.7000470913044292e-06
cellars,10,1.700047091304429e-05
pantries,3,5.100141273913288e-06
these,466,0.0007922219445478639
wardrobes,1,1.7000470913044292e-06
he,10145,0.017246977741283434
whole,91,0.00015470428530870304
rooms,17,2.8900800552175296e-05
devoted,2,3.4000941826088584e-06
clothes,35,5.950164819565502e-05
kitchens,1,1.7000470913044292e-06
dining,8,1.3600376730435434e-05
ll,472,0.0008024222270956906
were,3120,0.005304146924869819
same,186,0.0003162087589826238
floor,115,0.00019550541550000935
indeed,386,0.0006562181772435097
passage,94,0.00015980442658261633
best,144,0.0002448067811478378
left,562,0.0009554264653130892
hand,561,0.0009537264182217848
only,913,0.001552142994360944
ones,43,7.310202492609045e-05
windows,66,0.00011220310802609233
deep,431,0.0007327202963522089
looking,284,0.0004828133739304579
over,937,0.00159294412455225
garden,52,8.840244874783032e-05
meadows,9,1.5300423821739862e-05
beyond,400,0.0006800188365217717
sloping,15,2.5500706369566436e-05
river,389,0.000661318318517423
well,868,0.0014756408752522444
do,1478,0.0025126696009479463
name,242,0.00041141139609567187
baggins,186,0.0003162087589826238
bagginses,33,5.610155401304616e-05
neighbourhood,8,1.3600376730435434e-05
time,913,0.001552142994360944
mind,296,0.0005032139390261111
considered,10,1.700047091304429e-05
respectable,12,2.040056509565315e-05
because,147,0.00024990692242175106
rich,35,5.950164819565502e-05
also,295,0.0005015138919348066
they,6198,0.010536891871904852
never,475,0.0008075223683696039
any,839,0.001426339509604416
adventures,45,7.650211910869931e-05
did,981,0.001667746196569645
anything,175,0.0002975082409782751
you,5905,0.010038778074152654
could,1530,0.0026010720496957764
tell,361,0.000613716999960899
what,1645,0.0027965774651957857
would,1370,0.002329064515087068
say,611,0.001038728772787006
question,44,7.480207201739488e-05
bother,11,1.870051800434872e-05
asking,26,4.420122437391516e-05
him,2749,0.004673429453995875
how,418,0.0007106196841652514
adventure,40,6.800188365217716e-05
found,488,0.0008296229805565614
himself,492,0.0008364231689217791
doing,90,0.00015300423821739862
saying,70,0.00011900329639131004
things,521,0.0008857245345696076
altogether,46,7.820216620000375e-05
h,211,0.00035870993626523453
e,439,0.0007463206730826444
lost,220,0.00037401036008697443
neighbours,4,6.800188365217717e-06
respect,10,1.700047091304429e-05
gained,10,1.700047091304429e-05
will,1898,0.0032266893792958066
see,1018,0.0017306479389479089
whether,109,0.00018530513295218277
end,589,0.0010013277367783087
mother,10,1.700047091304429e-05
our,771,0.0013107363073957148
particular,9,1.5300423821739862e-05
suppose,112,0.00019040527422609606
hobbits,575,0.0009775270775000467
some,1227,0.0020859577810305343
description,12,2.040056509565315e-05
nowadays,7,1.1900329639131004e-05
since,330,0.0005610155401304616
become,102,0.00017340480331305176
rare,10,1.700047091304429e-05
shy,6,1.0200282547826575e-05
o,390,0.0006630183656087273
f,173,0.00029410814679566624
big,121,0.00020570569804783593
call,183,0.0003111086177087105
us,1000,0.0017000470913044292
half,191,0.000324708994439146
height,51,8.670240165652588e-05
smaller,29,4.930136564782844e-05
than,947,0.0016099445954652943
bearded,5,8.500235456522145e-06
dwarves,365,0.0006205171883261166
beards,21,3.570098891739301e-05
magic,48,8.16022603826126e-05
except,109,0.00018530513295218277
ordinary,21,3.570098891739301e-05
everyday,2,3.4000941826088584e-06
sort,74,0.00012580348475652777
which,719,0.0012223338586478845
helps,8,1.3600376730435434e-05
disapp,1,1.7000470913044292e-06
ear,33,5.610155401304616e-05
quietly,68,0.00011560320220870118
quickly,148,0.00025160696951305553
when,1287,0.0021879606065088003
large,149,0.00025330701660435996
stupid,9,1.5300423821739862e-05
folk,349,0.0005933164348652458
me,1409,0.0023953663516479407
come,1372,0.0023324646092696766
blundering,7,1.1900329639131004e-05
along,316,0.0005372148808521996
making,84,0.00014280395566957204
noise,106,0.00018020499167826947
elephants,2,3.4000941826088584e-06
can,961,0.0016337452547435564
hear,271,0.0004607127617435003
mile,53,9.010249583913474e-05
off,663,0.0011271312215348364
inclined,12,2.040056509565315e-05
at,3738,0.006354776027295956
stomach,8,1.3600376730435434e-05
dress,3,5.100141273913288e-06
bright,151,0.0002567071107869688
colours,16,2.7200753460870867e-05
chiefly,19,3.230089473478415e-05
wear,29,4.930136564782844e-05
shoes,7,1.1900329639131004e-05
feet,402,0.0006834189307043805
grow,73,0.00012410343766522332
natural,7,1.1900329639131004e-05
leathery,2,3.4000941826088584e-06
soles,2,3.4000941826088584e-06
thick,77,0.00013090362603044103
warm,66,0.00011220310802609233
brown,68,0.00011560320220870118
hair,98,0.00016660461494783405
stuff,36,6.120169528695945e-05
heads,88,0.00014960414403478975
curly,4,6.800188365217717e-06
long,1367,0.0023239643738131545
clever,15,2.5500706369566436e-05
fingers,69,0.0001173032493000056
good,691,0.0011747325400913605
natured,2,3.4000941826088584e-06
faces,97,0.00016490456785652963
laugh,39,6.630183656087274e-05
fruity,1,1.7000470913044292e-06
laughs,3,5.100141273913288e-06
especially,68,0.00011560320220870118
after,693,0.0011781326342739694
dinner,13,2.210061218695758e-05
twic,1,1.7000470913044292e-06
day,580,0.0009860273129565689
get,509,0.0008653239694739544
know,778,0.001322636637034846
enough,295,0.0005015138919348066
go,1217,0.0020689573101174905
fabulous,1,1.7000470913044292e-06
belladonna,6,1.0200282547826575e-05
took,405,0.0006885190719782938
three,281,0.0004777132326565446
remarkable,10,1.700047091304429e-05
daughters,4,6.800188365217717e-06
head,414,0.0007038194958000337
live,100,0.00017000470913044292
d,616,0.0010472290082435283
across,211,0.00035870993626523453
water,477,0.0008109224625522127
small,292,0.0004964137506608933
ran,251,0.0004267118199174117
foot,152,0.0002584071578782732
said,4639,0.007886518456561247
other,607,0.0010319285844217884
families,15,2.5500706369566436e-05
ago,229,0.0003893107839087143
ancestors,2,3.4000941826088584e-06
must,791,0.0013447372492218035
taken,137,0.0002329064515087068
fairy,1,1.7000470913044292e-06
wife,11,1.870051800434872e-05
course,249,0.0004233117257348029
absurd,14,2.3800659278262007e-05
certainly,63,0.00010710296675217903
still,1076,0.0018292506702435657
something,297,0.0005049139861174154
entir,1,1.7000470913044292e-06
ely,1,1.7000470913044292e-06
once,455,0.0007735214265435152
members,11,1.870051800434872e-05
clan,1,1.7000470913044292e-06
discreetly,1,1.7000470913044292e-06
disappeared,37,6.290174237826388e-05
family,32,5.4401506921741735e-05
hushed,6,1.0200282547826575e-05
up,1998,0.0033966940884262494
fact,82,0.0001394038614869632
remained,108,0.00018360508586087835
tooks,22,3.740103600869744e-05
though,581,0.0009877273600478733
undoubtedly,4,6.800188365217717e-06
richer,5,8.500235456522145e-06
ever,610,0.0010370287256957018
she,452,0.0007684212852696019
became,147,0.00024990692242175106
mrs,12,2.040056509565315e-05
bungo,5,8.500235456522145e-06
father,92,0.0001564043324000075
built,59,0.00010030277838696132
luxurious,2,3.4000941826088584e-06
her,478,0.0008126225096435171
partly,20,3.400094182608858e-05
money,22,3.740103600869744e-05
either,163,0.00027710767588262197
days,432,0.0007344203434435134
probable,3,5.100141273913288e-06
although,22,3.740103600869744e-05
looked,675,0.0011475317866304897
behaved,5,8.500235456522145e-06
second,75,0.0001275035318478322
solid,10,1.700047091304429e-05
got,447,0.0007599210498130799
bit,158,0.0002686074404260998
qu,6,1.0200282547826575e-05
eer,3,5.100141273913288e-06
makeup,1,1.7000470913044292e-06
waited,49,8.330230747391702e-05
chance,127,0.0002159059805956625
arrived,16,2.7200753460870867e-05
until,402,0.0006834189307043805
grown,55,9.350259002174361e-05
being,180,0.00030600847643479724
fifty,29,4.930136564782844e-05
years,234,0.00039781101936523644
so,1631,0.002772776805917524
living,121,0.00020570569804783593
beautiful,76,0.0001292035789391366
ave,13,2.210061218695758e-05
just,434,0.0007378204376261222
described,5,8.500235456522145e-06
apparently,9,1.5300423821739862e-05
settled,29,4.930136564782844e-05
immovably,1,1.7000470913044292e-06
curious,19,3.230089473478415e-05
morning,273,0.00046411285592610915
quiet,98,0.00016660461494783405
world,268,0.000455612620469587
less,206,0.0003502097008087124
numerous,8,1.3600376730435434e-05
prosperous,5,8.500235456522145e-06
bil,4,6.800188365217717e-06
bo,14,2.3800659278262007e-05
standing,145,0.0002465068282391422
breakfast,60,0.00010200282547826574
smoking,20,3.400094182608858e-05
enormous,15,2.5500706369566436e-05
wooden,28,4.7601318556524015e-05
pipe,43,7.310202492609045e-05
reached,123,0.00020910579223044478
nearly,125,0.00021250588641305365
woolly,4,6.800188365217717e-06
toes,34,5.780160110435059e-05
neatly,7,1.1900329639131004e-05
brushed,3,5.100141273913288e-06
came,1495,0.0025415704015001217
if,2247,0.0038200058141610524
heard,576,0.0009792271245913512
quarter,6,1.0200282547826575e-05
onl,6,1.0200282547826575e-05
y,150,0.0002550070636956644
prepared,40,6.800188365217716e-05
tale,137,0.0002329064515087068
tales,107,0.00018190503876957392
sprouted,2,3.4000941826088584e-06
wherever,31,5.27014598304373e-05
went,870,0.0014790409694348534
extraordinary,2,3.4000941826088584e-06
fashion,45,7.650211910869931e-05
way,889,0.0015113418641696376
ages,40,6.800188365217716e-05
friend,125,0.00021250588641305365
died,76,0.0001292035789391366
almost,236,0.0004012111135478453
forgotten,126,0.00021420593350435807
away,1078,0.0018326507644261746
business,97,0.00016490456785652963
own,459,0.0007803216149087329
boys,11,1.870051800434872e-05
girls,1,1.7000470913044292e-06
unsuspecting,1,1.7000470913044292e-06
saw,612,0.0010404288198783106
man,379,0.0006443178476043787
staff,68,0.00011560320220870118
tall,226,0.00038421064263480096
pointed,32,5.4401506921741735e-05
blue,87,0.00014790409694348533
hat,73,0.00012410343766522332
grey,396,0.000673218648156554
cloak,106,0.00018020499167826947
silver,212,0.00036040998335653895
scarf,3,5.100141273913288e-06
white,455,0.0007735214265435152
beard,42,7.140197783478602e-05
hung,79,0.0001343037202130499
below,171,0.0002907080526130574
waist,13,2.210061218695758e-05
immense,3,5.100141273913288e-06
black,536,0.000911225240939174
boots,17,2.8900800552175296e-05
mea,1,1.7000470913044292e-06
nt,14,2.3800659278262007e-05
sun,392,0.0006664184597913362
shining,99,0.0001683046620391385
grass,201,0.00034170946535219026
bushy,7,1.1900329639131004e-05
eyebrows,8,1.3600376730435434e-05
stuck,42,7.140197783478602e-05
further,193,0.00032810908862175483
brim,3,5.100141273913288e-06
shady,3,5.100141273913288e-06
mean,151,0.0002567071107869688
wish,272,0.00046241280883480473
want,192,0.0003264090415304504
feel,183,0.0003111086177087105
fine,61,0.00010370287256957018
tobacco,6,1.0200282547826575e-05
bargain,9,1.5300423821739862e-05
fill,28,4.7601318556524015e-05
mine,68,0.00011560320220870118
hurry,45,7.650211910869931e-05
we,3049,0.005183443581387204
sat,345,0.000586516246500028
seat,52,8.840244874783032e-05
crossed,57,9.690268420435246e-05
legs,141,0.0002397066398739245
blew,59,0.00010030277838696132
sailed,8,1.3600376730435434e-05
air,280,0.00047601318556524016
breaking,27,4.5901271465219586e-05
floated,21,3.570098891739301e-05
pretty,37,6.290174237826388e-05
blow,49,8.330230747391702e-05
am,586,0.0009962275955043955
someone,33,5.610155401304616e-05
share,45,7.650211910869931e-05
arranging,1,1.7000470913044292e-06
difficult,56,9.520263711304803e-05
find,433,0.0007361203905348179
anyone,43,7.310202492609045e-05
should,520,0.0008840244874783031
think,570,0.0009690268420435246
parts,55,9.350259002174361e-05
plain,142,0.00024140668696522895
use,178,0.0003026083822521884
disturbing,6,1.0200282547826575e-05
uncomfortable,26,4.420122437391516e-05
late,111,0.00018870522713479164
t,1965,0.0033405925344132032
anybody,9,1.5300423821739862e-05
sees,14,2.3800659278262007e-05
mr,389,0.000661318318517423
thumb,3,5.100141273913288e-06
behind,612,0.0010404288198783106
braces,1,1.7000470913044292e-06
even,827,0.0014059389445087629
bigger,19,3.230089473478415e-05
letters,24,4.08011301913063e-05
begin,56,9.520263711304803e-05
read,73,0.00012410343766522332
pretending,4,6.800188365217717e-06
take,425,0.0007225200138043824
notice,40,6.800188365217716e-05
decided,34,5.780160110435059e-05
wanted,63,0.00010710296675217903
move,110,0.00018700518004348722
stood,544,0.0009248256176696095
leaning,34,5.780160110435059e-05
stick,35,5.950164819565502e-05
gazing,40,6.800188365217716e-05
till,184,0.000312808664800015
cross,61,0.00010370287256957018
don,588,0.0009996276896870042
thank,55,9.350259002174361e-05
might,352,0.000598416576139159
try,104,0.00017680489749566063
meant,59,0.00010030277838696132
conversation,8,1.3600376730435434e-05
w,174,0.00029580819388697066
lot,77,0.00013090362603044103
rid,21,3.570098891739301e-05
won,167,0.00028390786424783965
my,1510,0.002567071107869688
dear,85,0.00014450400276087649
sir,76,0.0001292035789391366
let,526,0.0008942247700261298
your,1312,0.002230461783791411
yes,399,0.0006783187894304672
remember,150,0.0002550070636956644
belong,14,2.3800659278262007e-05
morninged,1,1.7000470913044292e-06
selling,6,1.0200282547826575e-05
buttons,11,1.870051800434872e-05
gracious,7,1.1900329639131004e-05
wandering,47,7.990221329130817e-05
wizard,162,0.00027540762879131754
pair,9,1.5300423821739862e-05
diamond,5,8.500235456522145e-06
studs,3,5.100141273913288e-06
fastened,13,2.210061218695758e-05
themselves,154,0.00026180725206088206
undone,2,3.4000941826088584e-06
ordered,36,6.120169528695945e-05
fellow,58,9.860273129565689e-05
used,172,0.0002924080997043618
such,394,0.000669818553973945
wonder,224,0.0003808105484521921
ful,3,5.100141273913288e-06
parties,11,1.870051800434872e-05
dragons,35,5.950164819565502e-05
goblins,155,0.00026350729915218654
giants,15,2.5500706369566436e-05
rescue,12,2.040056509565315e-05
princesses,1,1.7000470913044292e-06
luck,65,0.00011050306093478789
widows,2,3.4000941826088584e-06
sons,37,6.290174237826388e-05
particularly,8,1.3600376730435434e-05
excellent,13,2.210061218695758e-05
fireworks,14,2.3800659278262007e-05
midsummer,13,2.210061218695758e-05
eve,16,2.7200753460870867e-05
splendid,21,3.570098891739301e-05
lilies,13,2.210061218695758e-05
snapdragons,1,1.7000470913044292e-06
laburnums,1,1.7000470913044292e-06
fire,418,0.0007106196841652514
hang,10,1.700047091304429e-05
twilight,38,6.46017894695683e-05
evening,148,0.00025160696951305553
already,325,0.0005525153046739395
prosy,1,1.7000470913044292e-06
liked,40,6.800188365217716e-05
believe,96,0.0001632045207652252
flowers,59,0.00010030277838696132
responsible,4,6.800188365217717e-06
lads,29,4.930136564782844e-05
lasses,2,3.4000941826088584e-06
mad,25,4.250117728261073e-05
climbing,63,0.00010710296675217903
trees,511,0.0008687240636565633
visiting,5,8.500235456522145e-06
elves,359,0.00061031690577829
sailing,18,3.0600847643479724e-05
ships,29,4.930136564782844e-05
shores,43,7.310202492609045e-05
bless,25,4.250117728261073e-05
life,97,0.00016490456785652963
inter,3,5.100141273913288e-06
upset,6,1.0200282547826575e-05
badly,7,1.1900329639131004e-05
upon,898,0.0015266422879913774
beg,31,5.27014598304373e-05
pardon,40,6.800188365217716e-05
idea,42,7.140197783478602e-05
where,809,0.0013753380968652832
else,137,0.0002329064515087068
pleased,42,7.140197783478602e-05
somethi,2,3.4000941826088584e-06
